/vehicle/sensor/steering_report [1723106157791091444]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=603023691), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106157794711968]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=613007289), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106157804604695]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=623014062), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106157814670567]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=633018277), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106157824634849]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=643010230), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106157834643589]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=653012246), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106157844662346]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=663017305), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106157854586620]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=673011711), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106157864663312]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=683015224), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106157874854475]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=693033074), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106157884542343]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=703015920), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106157894759390]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=713011888), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106157904567715]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=723009016), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106157915092379]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=733007259), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106157924875710]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018186, nanosec=743020923), steering_tire_angle=0.002303836867213249)
